count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji,run_person_romaji
10,3.0,10.0,2025/3/10,2217.322183,1047.322184,1741570210,2.0,1.0,渡辺,Right,TOK,2,batter2,Right,國學院,1,Bottom,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.037,0.272,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506800010,ボール,,2215.0,https://youtu.be/ZA7E4wSWfDE&t=2215,,https://youtu.be/18LIP6AdgRM&t=0,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R","Koki, Watanabe","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Naotaro, Takeyama","Suguru, Sakai","Kaiki, Ohara",,,,,,,,
11,4.0,11.0,2025/3/10,2230.770342,1060.770344,1741570224,2.0,2.0,渡辺,Right,TOK,2,batter2,Right,國學院,1,Bottom,1,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,107.0,0.63,-0.224,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506800011,見逃し,,2228.0,https://youtu.be/ZA7E4wSWfDE&t=2228,,https://youtu.be/18LIP6AdgRM&t=0,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R","Koki, Watanabe","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Naotaro, Takeyama","Suguru, Sakai","Kaiki, Ohara",,,,,,,,
12,5.0,12.0,2025/3/10,2243.462114,1073.462115,1741570236,2.0,3.0,渡辺,Right,TOK,2,batter2,Right,國學院,1,Bottom,1,1,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.598,0.16,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506800012,見逃し,,2241.0,https://youtu.be/ZA7E4wSWfDE&t=2241,,https://youtu.be/18LIP6AdgRM&t=0,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R","Koki, Watanabe","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Naotaro, Takeyama","Suguru, Sakai","Kaiki, Ohara",,,,,,,,
13,6.0,13.0,2025/3/10,2257.050864,1087.050865,1741570250,2.0,4.0,渡辺,Right,TOK,2,batter2,Right,國學院,1,Bottom,1,1,2,Fastball,InPlay,Undefined,GroundBall,Single,0,0,,,0.702,-0.156,33.95535231,34.38034472,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,,,,,Undefined,,,,3,3,2506800013,一安,,2255.0,https://youtu.be/ZA7E4wSWfDE&t=2255,,https://youtu.be/18LIP6AdgRM&t=0,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R","Koki, Watanabe","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Naotaro, Takeyama","Suguru, Sakai","Kaiki, Ohara",,,,,,,,
14,7.0,14.0,2025/3/10,2297.80302,1127.803021,1741570291,3.0,1.0,渡辺,Right,TOK,3,batter3,Left,國學院,1,Bottom,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,114.0,0.706,0.14,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,1,batter2,,,Nothing,,,,,,2506800014,見逃し,,2295.0,https://youtu.be/ZA7E4wSWfDE&t=2295,,https://youtu.be/18LIP6AdgRM&t=0,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R","Koki, Watanabe","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Naotaro, Takeyama","Suguru, Sakai","Kaiki, Ohara",,,,,,,,
15,,,2025/3/10,2314.98241,1144.982412,1741570308,,,渡辺,Right,TOK,3,batter3,Left,國學院,1,Bottom,1,0,1,,,,,,0,0,,,,,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,1,batter2,,,PickOff,,,,"1,3","1,3",2506800015,牽制,,2312.0,https://youtu.be/ZA7E4wSWfDE&t=2312,,https://youtu.be/18LIP6AdgRM&t=0,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R","Koki, Watanabe","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Naotaro, Takeyama","Suguru, Sakai","Kaiki, Ohara",,,,,,,,
16,8.0,15.0,2025/3/10,2330.282443,1160.282444,1741570323,3.0,2.0,渡辺,Right,TOK,3,batter3,Left,國學院,1,Bottom,1,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,112.0,0.323,0.58,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,1,batter2,,,Nothing,,,,,,2506800016,ボール,,2328.0,https://youtu.be/ZA7E4wSWfDE&t=2328,,https://youtu.be/18LIP6AdgRM&t=0,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R","Koki, Watanabe","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Naotaro, Takeyama","Suguru, Sakai","Kaiki, Ohara",,,,,,,,
17,,,2025/3/10,2350.626202,1180.626203,1741570343,,,渡辺,Right,TOK,3,batter3,Left,國學院,1,Bottom,1,1,1,,,,,,0,0,,,,,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,1,batter2,,,PickOff,,,,"1,3","1,3",2506800017,牽制,,2348.0,https://youtu.be/ZA7E4wSWfDE&t=2348,,https://youtu.be/18LIP6AdgRM&t=0,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R","Koki, Watanabe","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Naotaro, Takeyama","Suguru, Sakai","Kaiki, Ohara",,,,,,,,
18,9.0,16.0,2025/3/10,2363.761614,1193.761615,1741570357,3.0,3.0,渡辺,Right,TOK,3,batter3,Left,國學院,1,Bottom,1,1,1,Fastball,InPlay,Undefined,FlyBall,Out,1,0,A2SR1,115.0,0.722,0.1,105.2320347,11.15244035,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,1,batter2,,,Undefined,,,,8,8,2506800018,中飛,,2361.0,https://youtu.be/ZA7E4wSWfDE&t=2361,,https://youtu.be/18LIP6AdgRM&t=0,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R","Koki, Watanabe","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Naotaro, Takeyama","Suguru, Sakai","Kaiki, Ohara",,,,,,,,
19,10.0,17.0,2025/3/10,2405.326389,1235.32639,1741570398,4.0,1.0,渡辺,Right,TOK,4,batter4,Right,國學院,1,Bottom,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,118.0,0.538,0.407,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,1,batter2,,,Nothing,,,,,,2506800019,ボール,,2403.0,https://youtu.be/ZA7E4wSWfDE&t=2403,,https://youtu.be/18LIP6AdgRM&t=0,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R","Koki, Watanabe","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Naotaro, Takeyama","Suguru, Sakai","Kaiki, Ohara",,,,,,,,
20,11.0,18.0,2025/3/10,2428.081339,1258.08134,1741570421,4.0,2.0,渡辺,Right,TOK,4,batter4,Right,國學院,1,Bottom,2,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,1,0,,118.0,0.734,-0.4,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,1,batter2,,,CaughtStealing,batter2,,,,,2506800020,ボール[盗塁死],,2426.0,https://youtu.be/ZA7E4wSWfDE&t=2426,,https://youtu.be/18LIP6AdgRM&t=0,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R","Koki, Watanabe","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Naotaro, Takeyama","Suguru, Sakai","Kaiki, Ohara",,,,,,,,
21,8.0,19.0,2025/3/10,2527.247199,1357.247201,1741570520,1.0,1.0,pos1,Right,國學院,4,大原,Right,TOK,2,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.59,-0.196,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506800021,見逃し,,2525.0,https://youtu.be/ZA7E4wSWfDE&t=2525,,https://youtu.be/18LIP6AdgRM&t=0,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R",,,,,,,,,,,"Kaiki, Ohara",,,,,,
22,9.0,20.0,2025/3/10,2539.802819,1369.80282,1741570533,1.0,2.0,pos1,Right,國學院,4,大原,Right,TOK,2,Top,0,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.277,-0.216,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506800022,ボール,,2537.0,https://youtu.be/ZA7E4wSWfDE&t=2537,,https://youtu.be/18LIP6AdgRM&t=0,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R",,,,,,,,,,,"Kaiki, Ohara",,,,,,
23,10.0,21.0,2025/3/10,2554.037682,1384.037683,1741570547,1.0,3.0,pos1,Right,國學院,4,大原,Right,TOK,2,Top,0,1,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.578,0.036,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506800023,見逃し,,2552.0,https://youtu.be/ZA7E4wSWfDE&t=2552,,https://youtu.be/18LIP6AdgRM&t=0,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R",,,,,,,,,,,"Kaiki, Ohara",,,,,,
